id,title,authors,categories,published_date,publisher,average_rating,ratings_count,page_count,description,thumbnail,info_link,preview_link
b-2oDwAAQBAJ,Python Programming in Context,"Bradley N. Miller, David L. Ranum, Julie Anderson",Computers,2019-10-01,Jones & Bartlett Learning,,,516,"Python Programming in Context, Third Edition provides a comprehensive and accessible introduction to Python fundamentals. Updated with the latest version of Python, the new Third Edition offers a thorough overview of multiple applied areas, including image processing, cryptography, astronomy, the Internet, and bioinformatics. Taking an active learning approach, each chapter starts with a comprehensive real-world project that teaches core design techniques and Python programming while engaging students. An ideal first language for learners entering the rapidly expanding field of computer science, Python gives students a solid platform of key problem-solving skills that translate easily across programming languages.",http://books.google.com/books/content?id=b-2oDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=b-2oDwAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=b-2oDwAAQBAJ&printsec=frontcover&dq=programming&hl=&cd=1&source=gbs_api
zlbSBQAAQBAJ,Introduction to Programming Languages,Arvind Kumar Bansal,Computers,2013-12-17,CRC Press,,,606,"In programming courses, using the different syntax of multiple languages, such as C++, Java, PHP, and Python, for the same abstraction often confuses students new to computer science. Introduction to Programming Languages separates programming language concepts from the restraints of multiple language syntax by discussing the concepts at an abstrac",http://books.google.com/books/content?id=zlbSBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=zlbSBQAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=zlbSBQAAQBAJ&pg=PA27&dq=programming&hl=&cd=2&source=gbs_api
mh0bU6NXrBgC,Core Python Programming,Wesley Chun,Computers,2001,Prentice Hall Professional,3.5,13,805,"Experts and novices alike will be able to find information about every command they'll need to use Linux. This complete, practical desk reference is organized by function, with a road map-style alphabetical reference for quick access of information about all aspects of running and administering the program. The CD-ROM contains Windows and Linux Python distributions plus extensive cross-platform source code from the book.",http://books.google.com/books/content?id=mh0bU6NXrBgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=mh0bU6NXrBgC&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=mh0bU6NXrBgC&printsec=frontcover&dq=programming&hl=&cd=3&source=gbs_api
mIxQAAAAMAAJ,Understanding Programming Languages,M. Ben-Ari,Computers,1996-03-26,,,,384,"This book compares constructs from C with constructs from Ada in terms of levels of abstractions. Studying these languages provides a firm foundation for an extensive examination of object-oriented language support in C++ and Ada 95. It explains what alternatives are available to the language designer, how language constructs should be used in terms of safety and readability, how language constructs are implemented and which ones can be efficiently compiled and the role of language in expressing and enforcing abstractions. The final chapters introduce functional (ML) and logic (Prolog) programming languages to demonstrate that imperative languages are not conceptual necessities for programming.",http://books.google.com/books/content?id=mIxQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=mIxQAAAAMAAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=mIxQAAAAMAAJ&q=programming&dq=programming&hl=&cd=4&source=gbs_api
XLZNEAAAQBAJ,An Experiential Introduction to Principles of Programming Languages,Hridesh Rajan,Computers,2022-05-03,MIT Press,,,305,"A textbook that uses a hands-on approach to teach principles of programming languages, with Java as the implementation language. This introductory textbook uses a hands-on approach to teach the principles of programming languages. Using Java as the implementation language, Rajan covers a range of emerging topics, including concurrency, Big Data, and event-driven programming. Students will learn to design, implement, analyze, and understand both domain-specific and general-purpose programming languages. Develops basic concepts in languages, including means of computation, means of combination, and means of abstraction. Examines imperative features such as references, concurrency features such as fork, and reactive features such as event handling. Covers language features that express differing perspectives of thinking about computation, including those of logic programming and flow-based programming. Presumes Java programming experience and understanding of object-oriented classes, inheritance, polymorphism, and static classes. Each chapter corresponds with a working implementation of a small programming language allowing students to follow along.",http://books.google.com/books/content?id=XLZNEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=XLZNEAAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=XLZNEAAAQBAJ&printsec=frontcover&dq=programming&hl=&cd=5&source=gbs_api
mLIsAAAACAAJ,C++ and Object-oriented Programming,Kip R. Irvine,C++ (Computer program language),1997,,,,526,"Offering students a tutorial on the basic differences between C and C++, the object model, design methods, and C++ programming, this text includes utility classes and case studies, which illustrate object-oriented programming, with all source code included on a disk in the text. The book illustrates concepts behind object-oriented design, going beyond a discussion of the C++ language to give students a deeper knowledge of the benefits of object-oriented programming. An extensive class library developed in the texts examples, which is also available via FTP, allows instructors to add new classes, extend existing ones, and add new student assignments. Adhering to the most current draft of the C++ standard it offers a review of function parameters, pointers, arrays and dynamic memory allocation to help students transfer knowledge of C programming to the C++ language and prepare them for C++ enhancements.",http://books.google.com/books/content?id=mLIsAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=mLIsAAAACAAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=mLIsAAAACAAJ&dq=programming&hl=&cd=6&source=gbs_api
kTMjvYv6BtEC,Computer Programming I (For University Of Mumbai),Bhave / Patekar,Uncategorized,2010-09,Pearson Education India,,,428,,http://books.google.com/books/content?id=kTMjvYv6BtEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=kTMjvYv6BtEC&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=kTMjvYv6BtEC&pg=PA1&dq=programming&hl=&cd=7&source=gbs_api
G_I5zwEACAAJ,Programming Language Design and Implementation,Torben Ægidius Mogensen,Computers,2022-11-19,Springer,,,0,"This textbook is intended as a guide for programming-language designers and users to better help them understand consequences of design decisions. The text aims to provide readers with an overview of the design space for programming languages and how design choices affect implementation. It is not a classical compilers book, as it assumes the reader is familiar with basic compiler implementation techniques; nor is it a traditional comparative programming languages book, because it does not go into depth about any particular language, instead taking examples from a wide variety of programming languages to illustrate design concepts. Readers are assumed to already have done at least a bit of programming in functional, imperative, and object-oriented languages. Topics and features: Provides topic-by-topic coverage of syntax, types, scopes, memory management and more Includes many technical exercises and discussion exercises Inspires readers to think about language design choices, how these interact, and how they can be implemented Covers advanced topics such as formal semantics and limits of computation Suitable for advanced undergraduates and beginning graduates, this highly practical and useful textbook/guide will also offer programming language professionals a superb reference and learning toolkit.",http://books.google.com/books/content?id=G_I5zwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=G_I5zwEACAAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=G_I5zwEACAAJ&dq=programming&hl=&cd=8&source=gbs_api
Wmq1DwAAQBAJ,Access Database for Pragmatic Programmers: A Step by Step Guide to Create Database-Driven Application Using Python,Vivian Siahaan,Computers,2019-10-11,SPARTA PUBLISHER,,,371,"This book covers microsoft acces-based GUI programming using pyqt. Intentionally designed for various levels of interest and ability of learners, this book is suitable for students, engineers, and even researchers in a variety of disciplines. No advanced programming experience is needed, and only a few school-level programming skill are needed. In the first chapter, you will learn to use several widgets in PyQt5: Display a welcome message; Use the Radio Button widget; Grouping radio buttons; Displays options in the form of a check box; and Display two groups of check boxes. In chapter two, you will learn to use the following topics: Using Signal / Slot Editor; Copy and place text from one Line Edit widget to another; Convert data types and make a simple calculator; Use the Spin Box widget; Use scrollbars and sliders; Using the Widget List; Select a number of list items from one Widget List and display them on another Widget List widget; Add items to the Widget List; Perform operations on the Widget List; Use the Combo Box widget; Displays data selected by the user from the Calendar Widget; Creating a hotel reservation application; and Display tabular data using Table Widgets. In third chapter, you will learn: How to create the initial three tables project in the School database: Teacher, Class, and Subject tables; How to create database configuration files; How to create a Python GUI for inserting and editing tables; How to create a Python GUI to join and query the three tables. In fourth chapter, you will learn how to: Create a main form to connect all forms; Create a project will add three more tables to the school database: Student, Parent, and Tuition tables; Create a Python GUI for inserting and editing tables; Create a Python GUI to join and query over the three tables. In the last chapter, you will join the six classes, Teacher, TClass, Subject, Student, Parent, and Tuition and make queries over those tables.",http://books.google.com/books/content?id=Wmq1DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=Wmq1DwAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=Wmq1DwAAQBAJ&pg=PA2&dq=programming&hl=&cd=9&source=gbs_api
PZhIDwAAQBAJ,"Web Programming with HTML5, CSS, and JavaScript",Dean,Business & Economics,2018-01-19,Jones & Bartlett Learning,5,1,699,"Web Programming with HTML5, CSS, and JavaScript is written for the undergraduate, client-side web programming course. It covers the three client-side technologies (HTML5, CSS, and JavaScript) in depth, with no dependence on server-side technologies.",http://books.google.com/books/content?id=PZhIDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=PZhIDwAAQBAJ&dq=programming&hl=&source=gbs_api,http://books.google.com/books?id=PZhIDwAAQBAJ&printsec=frontcover&dq=programming&hl=&cd=10&source=gbs_api
