id,title,authors,categories,published_date,publisher,description,price,currency,thumbnail,info_link
8YX2QwGgD8AC,"Introduction to Mediation, Moderation, and Conditional Process Analysis",Andrew F. Hayes,Education,2013-04-22,Guilford Press,"Explaining the fundamentals of mediation and moderation analysis, this engaging book also shows how to integrate the two using an innovative strategy known as conditional process analysis. Procedures are described for testing hypotheses about the mechanisms by which causal effects operate, the conditions under which they occur, and the moderation of mechanisms. Relying on the principles of ordinary least squares regression, Andrew Hayes carefully explains the estimation and interpretation of direct and indirect effects, probing and visualization of interactions, and testing of questions about moderated mediation. Examples using data from published studies illustrate how to conduct and report the analyses described in the book. Of special value, the book introduces and documents PROCESS, a macro for SPSS and SAS that does all the computations described in the book. The companion website (www.afhayes.com) offers free downloads of PROCESS plus data files for the book's examples. Unique features include: *Compelling examples (presumed media influence, sex discrimination in the workplace, and more) with real data; boxes with SAS, SPSS, and PROCESS code; and loads of tips, including how to report mediation, moderation and conditional process analyses. *Appendix that presents documentation on use and features of PROCESS. *Online supplement providing data, code, and syntax for the book's examples.",Not Available,,http://books.google.com/books/content?id=8YX2QwGgD8AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=8YX2QwGgD8AC&dq=subject:Education&hl=&as_pt=BOOKS&source=gbs_api
txq4TIjm874C,Developing Student Autonomy in Learning,David Boud,Education,1988,Psychology Press,"First Published in 1987. Routledge is an imprint of Taylor & Francis, an informa company.",Not Available,,http://books.google.com/books/content?id=txq4TIjm874C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=txq4TIjm874C&dq=subject:Education&hl=&as_pt=BOOKS&source=gbs_api
7YrxEAAAQBAJ,三國志演義 : Romance of the three kingdoms,Guanzhong Luo,Education,,พีเคพิงเคียว,三國志演義 : Romance of the three kingdoms Guanzhong Luo,Not Available,,http://books.google.com/books/content?id=7YrxEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=7YrxEAAAQBAJ&dq=subject:Education&hl=&as_pt=BOOKS&source=gbs_api
_HIk-fyzou8C,The Romantic Ideology,Jerome J. McGann,Education,1985-02-15,University of Chicago Press,"Claiming that the scholarship and criticism of Romanticism and its works have for too long been dominated by a Romantic ideology—by an uncritical absorption in Romanticism's own self-representations—Jerome J. McGann presents a new, critical view of the subject that calls for a radically revisionary reading of Romanticism. In the course of his study, McGann analyzes both the predominant theories of Romanticism (those deriving from Coleridge, Hegel, and Heine) and the products of its major English practitioners. Words worth, Coleridge, Shelley, and Byron are considered in greatest depth, but the entire movement is subjected to a searching critique. Arguing that poetry is produced and reproduced within concrete historical contexts and that criticism must take these contexts into account, McGann shows how the ideologies embodied in Romantic poetry and theory have shaped and distorted contemporary critical activities.",Not Available,,http://books.google.com/books/content?id=_HIk-fyzou8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=_HIk-fyzou8C&dq=subject:Education&hl=&as_pt=BOOKS&source=gbs_api
TDGUgXvNu60C,Israel's Wars,Ahron Bregman,Education,2002,Psychology Press,"During the twentieth century, Israel has achieved notoriety, witnessing almost constant conflict and violence. This book is a masterly account of Israel's wars with the Palestinians and the Arabs. From the 1947-8 Jewish-Palestinian struggle for the possession and mastery of the land of Palestine, through Israel's wars with its Arab neighbours, to theAl-Aqsa Intifada, this book unearths new insights and exposes unknown facts for the first time. It reveals secrets relating to the Soviets' involvement in inciting the June 1967 Six Day War, the Israeli bombing of the American USS Liberty, President Sadat's right-hand man, who was a top agent of Mossad and the Israeli assassinations of leading Palestinians during theAl-Aqsa Intifada.",Not Available,,http://books.google.com/books/content?id=TDGUgXvNu60C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=TDGUgXvNu60C&dq=subject:Education&hl=&as_pt=BOOKS&source=gbs_api
b0d_BwAAQBAJ,Mathematical Mindsets,Jo Boaler,Education,2015-11-02,John Wiley & Sons,"Banish math anxiety and give students of all ages a clear roadmap to success Mathematical Mindsets provides practical strategies and activities to help teachers and parents show all children, even those who are convinced that they are bad at math, that they can enjoy and succeed in math. Jo Boaler—Stanford researcher, professor of math education, and expert on math learning—has studied why students don't like math and often fail in math classes. She's followed thousands of students through middle and high schools to study how they learn and to find the most effective ways to unleash the math potential in all students. There is a clear gap between what research has shown to work in teaching math and what happens in schools and at home. This book bridges that gap by turning research findings into practical activities and advice. Boaler translates Carol Dweck's concept of 'mindset' into math teaching and parenting strategies, showing how students can go from self-doubt to strong self-confidence, which is so important to math learning. Boaler reveals the steps that must be taken by schools and parents to improve math education for all. Mathematical Mindsets: Explains how the brain processes mathematics learning Reveals how to turn mistakes and struggles into valuable learning experiences Provides examples of rich mathematical activities to replace rote learning Explains ways to give students a positive math mindset Gives examples of how assessment and grading policies need to change to support real understanding Scores of students hate and fear math, so they end up leaving school without an understanding of basic mathematical concepts. Their evasion and departure hinders math-related pathways and STEM career opportunities. Research has shown very clear methods to change this phenomena, but the information has been confined to research journals—until now. Mathematical Mindsets provides a proven, practical roadmap to mathematics success for any student at any age.",Not Available,,http://books.google.com/books/content?id=b0d_BwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=b0d_BwAAQBAJ&dq=subject:Education&hl=&as_pt=BOOKS&source=gbs_api
FxDOa5CTIrgC,Distributed Leadership,James P. Spillane,Education,2012-06-29,John Wiley & Sons,"James Spillane, the leading expert in Distributed Leadership, shows how leadership happens in everyday practices in schools, through formal routines and informal interactions. He examines the distribution of leadership among administrators, specialists, and teachers in the school, and explains the ways in which leadership practice is stretched over leaders, followers, and aspects of the situation, including routines and tools of various sorts in the organization such as memos, scheduling procedures, and evaluation protocols. This book is a volume in the Jossey-Bass Leadership Library in Education—a series designed to meet the demand for new ideas and insights about leadership in schools.",Not Available,,http://books.google.com/books/content?id=FxDOa5CTIrgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=FxDOa5CTIrgC&dq=subject:Education&hl=&as_pt=BOOKS&source=gbs_api
RK52DwAAQBAJ,Donald School Textbook of Transvaginal Sonography,"Asim Kurjak, Jose Bajo Arenas",Education,2018-08-16,JP Medical Ltd,"This book is a comprehensive guide to transvaginal sonography for practitioners. Divided into five sections, the text begins with discussion on general aspects of ultrasonography and transvaginal scanning. The following sections cover the use of ultrasonography in a variety if gynaecological and obstetrical circumstances. The final sections cover Doppler sonography and 3D and 4D transvaginal sonography. The third edition has been fully revised to provide clinicians with the latest advances in their field. Authored by an internationally recognised team of experts led by Zagreb-based Asim Kurjak and Madrid-based José Bajo Arenas, the text is further enhanced by nearly 700 ultrasound images, photographs, diagrams and tables. Key points Fully revised, third edition presenting latest advances in transvaginal sonography Highly illustrated with nearly 700 ultrasound images, photographs, diagrams and tables Internationally recognised editor and author team Previous edition (9789350904732) published in 2013",Not Available,,http://books.google.com/books/content?id=RK52DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=RK52DwAAQBAJ&dq=subject:Education&hl=&as_pt=BOOKS&source=gbs_api
ep21xwEACAAJ,The Grammar of Fantasy,Gianni Rodari,Education,2024-05-16,Enchanted Lion,"A collection of essays from the visionary storyteller Gianni Rodari about fairy tales and folk tales and their great advantages in teaching creative storytelling. ""Rodari grasped children's need to play with life's rules by using the grammar of their own imaginations. They must be encouraged to question, challenge, destroy, mock, eliminate, generate, and reproduce their own language and meanings through stories that will enable them to narrate their own lives."" --Jack Zipes ""I hope this small book,"" writes renowned children's author Gianni Rodari, ""can be useful for all those people who believe it is necessary for the imagination to have a place in education; for all those who trust in the creativity of children; and for all those who know the liberating value of the word."" Full of ideas, glosses on fairytales, stories, and wide-ranging activities, including the fantastic binomial, this book changed how creative arts were taught in Italian schools. Translated into English by acclaimed children's historian Jack Zipes and illustrated for the first time ever by Matthew Forsythe, this edition of The Grammar of Fantasy is one to live with and return to for its humor, intelligence, and truly deep understanding of children. A groundbreaking pedagogical work that is also a handbook for writers of all ages and kinds, The Grammar of Fantasy gives each of us a playful, practical path to finding our own voice through the power of storytelling. Gianni Rodari (1920-1980) grew up in Northern Italy and wrote hundreds of stories, poems, and songs for children. In 1960, he collaborated with the Education Cooperation Movement to develop exercises to encourage children's creative and critical thinking abilities. Jack Zipes is a renowned children's historian and folklorist who has written, translated, and edited dozens of books on fairytales. He is a professor at the University of Minnesota. Matthew Forsythe lives in Montreal where he draws and paints for picture books, comics, and animations.",Not Available,,http://books.google.com/books/content?id=ep21xwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=ep21xwEACAAJ&dq=subject:Education&hl=&as_pt=BOOKS&source=gbs_api
AwIKgIOG_jYC,Pinocchio,Carlo Collodi,Education,2003,Unknown,,Not Available,,http://books.google.com/books/content?id=AwIKgIOG_jYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=AwIKgIOG_jYC&dq=subject:Education&hl=&as_pt=BOOKS&source=gbs_api
